ID,Tipo de Demanda,Propriedade,Etapa,Descrição da Solicitação,Comentário uMode,Quem solicitou?,Projeto,uMode - Macro Tema,Data da Solicitação,Data de Previsão de Entrega,Criado por,Criado em,Data de Conclusão
UMD-950,Configuração,Não iniciada,Backlog,Possibilidade de acrescentar Rendimento e Prazo de Entrega na ficha de material,,,,,,,Laura Delgado,26 de janeiro de 2026 15:05,
UMD-318,Configuração,Não iniciada,Backlog,Hierarquia do Campo Tipo,Estamos aguardando Time Lofty passar a regra.,Gustavo,"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",template de ficha,29/08/2025,9 de outubro de 2025,Laura Delgado,3 de setembro de 2025 10:25,
UMD-317,Configuração,Não iniciada,Backlog,"Hierarquia do Campo Categoria ",Estamos aguardando Time Lofty passar a regra.,Gustavo,"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",template de ficha,29/08/2025,9 de outubro de 2025,Laura Delgado,3 de setembro de 2025 10:21,
UMD-654,Integração,Standby - Produto,Backlog,Possibilidade de trazer a imagem do tecido e aviamento dentro do cadastro.,Stand by - depende do módulo de integração de imagem,Gustavo,"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",integração,08/10/2025,,Laura Delgado,9 de outubro de 2025 11:43,
UMD-561,Produto,Standby - Produto,Backlog,Desejo de deixar o Campo “Peso” identificado com “Kg”,"Demanda na fila de PRODUTO, sendo analisada com JuFerre e Andre",Gustavo,"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",template de ficha,01/10/2025,,Laura Delgado,1 de outubro de 2025 08:48,
UMD-517,Integração,Standby - Produto,Backlog,Definir categoria de imagem para integrar,Stand by - depende do módulo de integração de imagem,Gustavo + Marina uMode (Integração),"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",integração,22/09/2025,,Laura Delgado,22 de setembro de 2025 19:21,
UMD-1263,Integração,Nível de Análise,Análise Cliente,Campo Família - Integrado com linx,,,,,,,Laura Delgado,22 de maio de 2026 16:02,
UMD-1246,Produto,Nível de Análise,Análise Cliente,Custo da Variante com Material por Tamanho,,Marcello / Regina,,,,,Laura Delgado,5 de maio de 2026 11:07,
UMD-949,Configuração,Nível de Análise,Análise Cliente,Possibilidade de Macroplan para controle de Armários,,Gabi,,,,,Laura Delgado,26 de janeiro de 2026 15:00,
UMD-1248,Integração,Concluída,Demanda Concluída,Aviamentos que não integraram 05/05/2026?,,Raiane Brito,,,,,Laura Delgado,5 de maio de 2026 15:59,
