Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
Extras,Encerrada,,,,1 de junho de 2023 08:15,Luciano Troiani,,,,,Demanda Cancelada,,,,,UMD-447,,,,,,,,Demanda com uMode,,,,,,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Alterar ícones de ‘camiseta’ para ‘sapato’,Encerrada,,,,23 de dezembro de 2024 14:49,Marina Santoro,,18/12/2024,23 de dezembro de 2024,,Demanda Cancelada,,,,,UMD-1,,,Apontamento repassado para o time de produto para análises futuras de evolução de ferramenta. Obrigada pelo feedback!,,,Gustavo,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Reunião de Acompanhamento do Go Light: Ordenação no mapa,Não iniciada,,,,23 de dezembro de 2024 14:50,Marina Santoro,,18/12/2024,,,Backlog,,,,,UMD-2,,,Provavelmente para a Nova Tecnologia (Está em análise),,,Gabriel,,Demanda com uMode,,,,,Produto,,,,26 de novembro de 2025 15:13,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Alterar campo “atributo cabedal” para “subcategoria”,Concluída,,,,23 de dezembro de 2024 14:50,Marina Santoro,,18/12/2024,23 de dezembro de 2024,,Demanda Concluída,,,,,UMD-3,,,Feito na ficha de produto.,,,Gabriel,,Demanda com uMode,,,,,Suporte,,,,2 de setembro de 2025 10:28,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Automatizar preenchimento dos campos relacionados a linha,Concluída,,,,23 de dezembro de 2024 14:51,Marina Santoro,,18/12/2024,5 de fevereiro de 2025,,Demanda Concluída,,,,,UMD-4,,,Demanda solicitada para o time de tecnologia.,,,Gabriel,,Demanda com uMode,,19564,,,Configuração,,,,2 de setembro de 2025 10:28,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Alterar label campo “preço de venda” para “preço alvo”,Concluída,,,,23 de dezembro de 2024 14:52,Marina Santoro,,18/12/2024,23 de dezembro de 2024,,Demanda Concluída,,,,,UMD-5,,,Feito na ficha de produto.,,,Gustavo,,Demanda com uMode,,,,,Suporte,,,,2 de setembro de 2025 10:28,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Solicitada antes do Go Light: Automatizar datas/etapas,Concluída,,,,23 de dezembro de 2024 14:52,Marina Santoro,,18/12/2024,,,Demanda Concluída,,,,,UMD-6,,,Precisamos definir o gatilho de cada data.,,,Gustavo,,Demanda com uMode,,20609,,,Configuração,,,,3 de setembro de 2025 19:21,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Solicitada antes do Go Light: Configurar e-mails,Concluída,,,,23 de dezembro de 2024 14:52,Marina Santoro,,18/12/2024,,,Demanda Concluída,,,,,UMD-7,,,Precisamos definir qual email deve ser configurado - todos os emails uMode são enviados diariamente e podemos listar produtos que tiveram campo ou status alterado ou que está em alguma determinada etapa do fluxo.,,,Gustavo,,Demanda com uMode,,,,,Configuração,,,,3 de setembro de 2025 19:20,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Atualizar lista do campo “status” igual portoflio e manter padrão ATIVO,Concluída,,,,23 de dezembro de 2024 14:53,Marina Santoro,,18/12/2024,23 de dezembro de 2024,,Demanda Concluída,,,,,UMD-8,,,Feito na ficha de produto.,,,Gabriel,,Demanda com uMode,,,,,Suporte,,,,2 de setembro de 2025 10:28,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Alterar campo “campanha” e “delegado” para checkbox,Concluída,,,,23 de dezembro de 2024 14:54,Marina Santoro,,18/12/2024,23 de dezembro de 2024,,Demanda Concluída,,,,,UMD-9,,,Feito na ficha de produto. Alterar para seleção com a opção “SIM” para que possa preencher no mapa ou via importação de forma mais simples.,,,Gabriel,,Demanda com uMode,,,,,Suporte,,,,2 de setembro de 2025 10:28,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
