ID,Campo do banco,Banco,Tabela do Banco,Nome na Plataforma,Hierarquia uMode,Exemplo (value),Tipo de campo,Estrutura na Plataforma,Nome no Front,Aparece no relatório?
1,name,umode_production,jumper_entities,,Não se aplica,,Nativo,,,Não
36,id,umode_production,umode_brands,,brand,,Nativo,,,Não
37,name,umode_production,umode_brands,,brand,,Nativo,,Marca,Sim
38,id,umode_production,umode_themes,,theme,,Nativo,,,Não
39,name,umode_production,umode_themes,,theme,,Nativo,,,Não
40,collection_id,umode_production,umode_products,,collection,,Nativo,,,Não
41,name,umode_production,umode_collections,,collection,,Nativo,,Coleção,Sim
42,id,umode_production,umode_products,,product,,Nativo,,,Não
43,name,umode_production,umode_products,,product,,Nativo,,,Não
44,reference,umode_production,umode_products,,product,,Nativo,,,Não
45,status,umode_production,umode_products,,product,,Nativo,,Status do produto,Sim
46,name,umode_production,umode_product_types,,product type,,Nativo,,Grupo de Produto,Sim
47,name,umode_production,jumper_users,,user,,Nativo,,Responsável,Sim
48,id,umode_production,umode_product_variants,,product variant,,Nativo,,,Não
49,sku,umode_production,umode_product_variants,,product variant,,Nativo,,,Não
50,name,umode_production,umode_product_variants,,product variant,,Nativo,,,Não
51,created_at,umode_production,umode_product_variants,,product variant,,Nativo,,,Não
52,name,umode_production,umode_suppliers,,supplier,,Nativo,,Fornecedor,Sim
53,manufactory_price_cents (formatted in SELECT),umode_production,umode_product_manufacturers,,supplier,,Nativo,,,Não
54,reference,umode_production,umode_measurement_tables,,product,,Nativo,,Referência da Tabela,Sim
55,name,umode_production,umode_measurement_tables,,product,,Nativo,,Nome da Tabela,Sim
56,size (aggregated via GROUP_CONCAT),umode_production,umode_grid_size_item,,product,,Nativo,,Grade de tamanhos,Sim
