ID,Campo do banco,Banco,Tabela do Banco,Hierarquia uMode,Nome na Plataforma,Nome no Front,Exemplo (value),Aparece no relatório?,Tipo de campo,Estrutura na Plataforma
1,name,umode_production,jumper_entities,Não se aplica,,,,Não,Nativo,
2,name,umode_production,umode_brands,brand,,Marca,,Sim,Nativo,
3,name,umode_production,umode_collections,collection,,Coleção,,Sim,Nativo,
4,id,umode_production,umode_products,product,,,,Não,Nativo,
5,reference,umode_production,umode_products,product,,,,Não,Nativo,
6,name,umode_production,umode_products,product,,,,Não,Nativo,
7,name,umode_production,umode_themes,theme,,,,Não,Nativo,
8,"name (join alias s, via
umode_accessory_variant_suppliers.supplier_id)",umode_production,umode_suppliers,supplier,,,,Não,Nativo,
9,id,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
10,sku,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
11,name,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
12,id,umode_production,umode_accessories,accessories,,Nome,,Sim,Nativo,
13,name,umode_production,umode_accessories,accessories,,Ref. Material,,Sim,Nativo,
14,reference,umode_production,umode_accessories,accessories,,,,Não,Nativo,
15,id,umode_production,umode_accessory_variant_suppliers,accessory variant,,,,Não,Nativo,
16,name,umode_production,umode_accessory_variants,accessory variant,,Ref. Variante do Material,,Sim,Nativo,
17,reference,umode_production,umode_accessory_variants,accessory variant,,Fornecedor,,Sim,Nativo,
18,consumption_unit,umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
19,"price (cast/replace
  formatting in SELECT)",umode_production,umode_accessory_variant_suppliers,accessory variant,,Custo de Material,,Sim,Nativo,
20,price_unit,umode_production,umode_accessory_variant_suppliers,accessory variant,,Unidade cadastro,,Sim,Nativo,
21,conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),umode_production,umode_accessory_variant_suppliers,accessory variant,,Fator Conversão,,Sim,Nativo,
22,conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),umode_production,umode_accessory_variant_suppliers,accessory variant,,,,Não,Nativo,
23,consumption_values,umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
24,updated_at (DATE_FORMAT in SELECT),umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
25,id (used to build the URL),umode_production,umode_products,product,,,,Não,Nativo,
