Campo do banco,Aparece no relatório?,Banco,Estrutura na Plataforma,Exemplo (value),Hierarquia uMode,ID,Nome na Plataforma,Nome no Front,Tabela do Banco,Tipo de campo
sku,Não,umode_production,,,product variants,10,,,umode_product_variants,Nativo
id,Não,umode_production,,,product variants,9,,,umode_product_variants,Nativo
name,Não,umode_production,,,theme,7,,,umode_themes,Nativo
name,Não,umode_production,,,product variants,11,,,umode_product_variants,Nativo
id,Não,umode_production,,,accessory variant,15,,,umode_accessory_variant_suppliers,Nativo
reference,Não,umode_production,,,product,5,,,umode_products,Nativo
id,Sim,umode_production,,,accessories,12,,Nome,umode_accessories,Nativo
id,Não,umode_production,,,product,4,,,umode_products,Nativo
name,Sim,umode_production,,,brand,2,,Marca,umode_brands,Nativo
reference,Não,umode_production,,,accessories,14,,,umode_accessories,Nativo
name,Sim,umode_production,,,collection,3,,Coleção,umode_collections,Nativo
name,Sim,umode_production,,,accessories,13,,Ref. Material,umode_accessories,Nativo
name,Não,umode_production,,,product,6,,,umode_products,Nativo
"name (join alias s, via
umode_accessory_variant_suppliers.supplier_id)",Não,umode_production,,,supplier,8,,,umode_suppliers,Nativo
name,Não,umode_production,,,Não se aplica,1,,,jumper_entities,Nativo
"price (cast/replace
  formatting in SELECT)",Sim,umode_production,,,accessory variant,19,,Custo de Material,umode_accessory_variant_suppliers,Nativo
price_unit,Sim,umode_production,,,accessory variant,20,,Unidade cadastro,umode_accessory_variant_suppliers,Nativo
conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),Sim,umode_production,,,accessory variant,21,,Fator Conversão,umode_accessory_variant_suppliers,Nativo
conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),Não,umode_production,,,accessory variant,22,,,umode_accessory_variant_suppliers,Nativo
name,Sim,umode_production,,,accessory variant,16,,Ref. Variante do Material,umode_accessory_variants,Nativo
reference,Sim,umode_production,,,accessory variant,17,,Fornecedor,umode_accessory_variants,Nativo
consumption_unit,Não,umode_production,,,accessory variant,18,,,umode_product_accessory_variants,Nativo
consumption_values,Não,umode_production,,,accessory variant,23,,,umode_product_accessory_variants,Nativo
updated_at (DATE_FORMAT in SELECT),Não,umode_production,,,accessory variant,24,,,umode_product_accessory_variants,Nativo
id (used to build the URL),Não,umode_production,,,product,25,,,umode_products,Nativo
