ID,Campo do banco,Banco,Tabela do Banco,Hierarquia uMode,Tipo de campo,Nome na Plataforma,Exemplo (value),Estrutura na Plataforma,Aparece no relatório?,Nome no Front
1,name,umode_production,jumper_entities,Não se aplica,Nativo,,,,Não,
2,name,umode_production,umode_brands,brand,Nativo,,,,Sim,Marca
3,name,umode_production,umode_collections,collection,Nativo,,,,Sim,Coleção
4,id,umode_production,umode_products,product,Nativo,,,,Não,
5,reference,umode_production,umode_products,product,Nativo,,,,Não,
6,name,umode_production,umode_products,product,Nativo,,,,Não,
7,name,umode_production,umode_themes,theme,Nativo,,,,Não,
8,id,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
9,sku,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
10,name,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
11,id,umode_production,umode_fabrics,fabrics,Nativo,,,,Não,
12,name,umode_production,umode_fabrics,fabrics,Nativo,,,,Sim,Nome
13,reference,umode_production,umode_fabrics,fabrics,Nativo,,,,Sim,Ref. Material
14,id,umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Não,
15,name,umode_production,umode_fabric_variants,fabric variants,Nativo,,,,Não,
16,reference,umode_production,umode_fabric_variants,fabric variants,Nativo,,,,Sim,Ref. Variante do Material
17,name,umode_production,umode_suppliers,supplier,Nativo,,,,Sim,Fornecedor
18,consumption_unit,umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
19,price (cast/replace formatting in SELECT),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Custo de Material
20,price_unit,umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Unidade cadastro
21,conversion_factor (JSON_EXTRACT from this field),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Fator Conversão
22,conversion_factor (JSON_EXTRACT from this field),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Não,
23,updated_at (DATE_FORMAT in SELECT),umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
24,consumption_values,umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
25,id (used to build the URL),umode_production,umode_products,product,Nativo,,,,Não,
