Campo do banco,Aparece no relatório?,Banco,Estrutura na Plataforma,Exemplo (value),Hierarquia uMode,ID,Nome na Plataforma,Nome no Front,Tabela do Banco,Tipo de campo
title,Sim,umode_production,Aba “Tarefa”,ALTERAÇÃO DE MATERIAIS,task,1,Título,Título,jumper_tasks (jt),Nativo
record_type,Não,umode_production,-,,task relationship,2,Relacionamento da Tarefa,-,jumper_task_relationships (jtr),Nativo
name,Sim,umode_production,-,,user,7,Usuários e/ou Perfis de Usuário,Usuário ou Perfil,jumper_users (ju_assigned),Nativo
collection_id,Não,umode_production,-,,collection,5,-,-,umode_products (p),Nativo
time,Não,umode_production,"Aba “Tarefa”, “Nova Tarefa”",20:00:00,task,9,Horário,-,jumper_tasks (jt),Nativo
entity_id,Não,umode_production,-,3357,customer,10,-,-,jumper_tasks (jt),Nativo
name,Sim,umode_production,-,,collection,3,Coleção,Coleção,umode_collections (c),Nativo
updated_at,Não,umode_production,-,11/10/24 18:15,task,8,-,-,jumper_tasks (jt),Nativo
record_id,Não,umode_production,-,,product,4,-,-,jumper_task_relationships (jtr),Nativo
id,Não,umode_production,-,,task relationship,6,-,-,jumper_task_relationships (jtr),Nativo
name,Não,umode_production,-,,brand,12,Marca,-,umode_brands (b),Nativo
email,Sim,umode_production,-,,user,18,-,E-mail,jumper_users (ju),Nativo
status,Sim,umode_production,-,done,task,14,Status da Tarefa,Status da Tarefa,jumper_tasks (jt),Nativo
email,Sim,umode_production,-,,user,16,-,E-mail,jumper_users (ju_assigned),Nativo
target_type,Não,umode_production,-,J3::Task,task,15,-,-,jumper_user_or_policy_accesses (juopa),Nativo
id,Não,umode_production,URL da Tarefa,94601,task,11,-,-,jumper_tasks (jt),Nativo
record_id,Não,umode_production,-,,Não se aplica,17,-,-,jumper_user_or_policy_accesses (juopa),Nativo
name,Sim,umode_production,-,,user,13,-,Usuário ou Perfil,jumper_users (ju),Nativo
email,Sim,umode_production,-,,user,23,-,-,jumper_users (ju2),Nativo
status,Não,umode_production,-,,user,25,-,-,jumper_users (ju_assigned),Nativo
id,Não,umode_production,-,,task,19,-,-,jumper_user_or_policy_accesses (juopa),Nativo
completed_by_id,Não,umode_production,Aba “Tarefa”,4262,task,20,-,-,jumper_tasks (jt),Nativo
name,Sim,umode_production,-,,user,26,-,Usuário ou Perfil,policies (pol_user),Nativo
created_by_id,Não,umode_production,Aba “Tarefa”,4861,task,22,-,-,jumper_tasks (jt),Nativo
name,Sim,umode_production,-,,user,24,-,Perfil,policies (pol),Nativo
name,Sim,umode_production,-,,user,21,-,-,jumper_users (ju2),Nativo
description,Sim,umode_production,Aba “Tarefa”,"<div>&nbsp;Preciso de
  algumas[...] </div>",task,31,Descrição,Descrição,jumper_tasks (jt),Nativo
created_at,Sim,umode_production,Aba “Tarefa”,9/10/24 13:17,task,34,Criado em,Data da criação,jumper_tasks (jt),Nativo
deadline,Sim,umode_production,"Aba “Tarefa”, “Nova Tarefa”",10/10/24 3:00,task,32,Prazo,Prazo,jumper_tasks (jt),Nativo
target_id,Não,umode_production,-,,task,29,-,-,jumper_user_or_policy_accesses (juopa),Nativo
brand_id,Não,umode_production,-,,brand,27,-,-,umode_collections (c),Nativo
name,Sim,umode_production,-,,task,30,Tipo de Tarefa,Tipo de Tarefa,jumper_task_types (jtt),Nativo
policy_id,Não,umode_production,-,,user,28,-,-,"subquery
  valid roles (rv ← user_roles ur)",Nativo
completed_at,Não,umode_production,"Aba “Tarefa”, “Tarefa Concluída”",11/10/24 18:15,task,33,Finalizado em,-,jumper_tasks (jt),Nativo
record_type,Não,umode_production,-,,Não se aplica,35,-,-,jumper_user_or_policy_accesses (juopa),Nativo
