Campo do banco,Aparece no relatório?,Banco,Estrutura na Plataforma,Exemplo (value),Hierarquia uMode,ID,Nome na Plataforma,Nome no Front,Tabela do Banco,Tipo de campo
name,Não,umode_production,,,Não se aplica,1,,,jumper_entities,Nativo
id,Não,umode_production,,,theme,3,,,umode_themes,Nativo
status,Sim,umode_production,,,product,4,,Status do produto,umode_products,Nativo
id,Não,umode_production,,,product,2,,,umode_products,Nativo
reference,Não,umode_production,,,product,12,,,umode_products,Nativo
id,Não,umode_production,,,product variant,7,,,umode_product_variants,Nativo
name,Sim,umode_production,,,supplier,9,,Fornecedor,umode_suppliers,Nativo
name,Sim,umode_production,,,product type,8,,Grupo de Produto,umode_product_types,Nativo
name,Sim,umode_production,,,user,11,,Responsável,jumper_users,Nativo
name,Sim,umode_production,,,product,5,,Nome da Tabela,umode_measurement_tables,Nativo
created_at,Não,umode_production,,,product variant,15,,,umode_product_variants,Nativo
name,Não,umode_production,,,product variant,13,,,umode_product_variants,Nativo
collection_id,Não,umode_production,,,collection,10,,,umode_products,Nativo
name,Não,umode_production,,,theme,6,,,umode_themes,Nativo
sku,Não,umode_production,,,product variant,14,,,umode_product_variants,Nativo
name,Sim,umode_production,,,brand,20,,Marca,umode_brands,Nativo
size (aggregated via GROUP_CONCAT),Sim,umode_production,,,product,16,,Grade de tamanhos,umode_grid_size_item,Nativo
id,Não,umode_production,,,brand,21,,,umode_brands,Nativo
name,Não,umode_production,,,product,17,,,umode_products,Nativo
manufactory_price_cents (formatted in SELECT),Não,umode_production,,,supplier,19,,,umode_product_manufacturers,Nativo
reference,Sim,umode_production,,,product,18,,Referência da Tabela,umode_measurement_tables,Nativo
name,Sim,umode_production,,,collection,22,,Coleção,umode_collections,Nativo
