ID,Campo do banco,Banco,Tabela do Banco,Hierarquia uMode,Tipo de campo,Nome na Plataforma,Exemplo (value),Estrutura na Plataforma,Aparece no relatório?,Nome no Front
1,consumption_values,umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
2,id (used to build the URL),umode_production,umode_products,product,Nativo,,,,Não,
3,updated_at (DATE_FORMAT in SELECT),umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
4,price_unit,umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Unidade cadastro
5,name,umode_production,umode_suppliers,supplier,Nativo,,,,Sim,Fornecedor
6,id,umode_production,umode_products,product,Nativo,,,,Não,
7,id,umode_production,umode_fabrics,fabrics,Nativo,,,,Não,
8,name,umode_production,umode_products,product,Nativo,,,,Não,
9,consumption_unit,umode_production,umode_product_fabric_variants,fabric variants,Nativo,,,,Não,
10,reference,umode_production,umode_fabrics,fabrics,Nativo,,,,Sim,Ref. Material
11,id,umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Não,
12,name,umode_production,umode_fabric_variants,fabric variants,Nativo,,,,Não,
13,name,umode_production,umode_collections,collection,Nativo,,,,Sim,Coleção
14,conversion_factor (JSON_EXTRACT from this field),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Fator Conversão
15,name,umode_production,umode_brands,brand,Nativo,,,,Sim,Marca
16,id,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
17,price (cast/replace formatting in SELECT),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Sim,Custo de Material
18,conversion_factor (JSON_EXTRACT from this field),umode_production,umode_fabric_variant_suppliers,fabric variants,Nativo,,,,Não,
19,name,umode_production,jumper_entities,Não se aplica,Nativo,,,,Não,
20,name,umode_production,umode_themes,theme,Nativo,,,,Não,
21,sku,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
22,name,umode_production,umode_product_variants,product variants,Nativo,,,,Não,
23,reference,umode_production,umode_fabric_variants,fabric variants,Nativo,,,,Sim,Ref. Variante do Material
24,reference,umode_production,umode_products,product,Nativo,,,,Não,
25,name,umode_production,umode_fabrics,fabrics,Nativo,,,,Sim,Nome
