Campo do banco,Aparece no relatório?,Banco,Estrutura na Plataforma,Exemplo (value),Hierarquia uMode,ID,Nome na Plataforma,Nome no Front,Tabela do Banco,Tipo de campo
id (used to build the URL),Não,umode_production,,,product,2,,,umode_products,Nativo
consumption_values,Não,umode_production,,,fabric variants,1,,,umode_product_fabric_variants,Nativo
id,Não,umode_production,,,product,6,,,umode_products,Nativo
id,Não,umode_production,,,fabric variants,11,,,umode_fabric_variant_suppliers,Nativo
updated_at (DATE_FORMAT in SELECT),Não,umode_production,,,fabric variants,3,,,umode_product_fabric_variants,Nativo
name,Sim,umode_production,,,supplier,5,,Fornecedor,umode_suppliers,Nativo
id,Não,umode_production,,,fabrics,7,,,umode_fabrics,Nativo
name,Não,umode_production,,,product,8,,,umode_products,Nativo
consumption_unit,Não,umode_production,,,fabric variants,9,,,umode_product_fabric_variants,Nativo
reference,Sim,umode_production,,,fabrics,10,,Ref. Material,umode_fabrics,Nativo
price_unit,Sim,umode_production,,,fabric variants,4,,Unidade cadastro,umode_fabric_variant_suppliers,Nativo
name,Não,umode_production,,,fabric variants,12,,,umode_fabric_variants,Nativo
name,Sim,umode_production,,,brand,15,,Marca,umode_brands,Nativo
conversion_factor (JSON_EXTRACT from this field),Sim,umode_production,,,fabric variants,14,,Fator Conversão,umode_fabric_variant_suppliers,Nativo
id,Não,umode_production,,,product variants,16,,,umode_product_variants,Nativo
name,Sim,umode_production,,,collection,13,,Coleção,umode_collections,Nativo
price (cast/replace formatting in SELECT),Sim,umode_production,,,fabric variants,17,,Custo de Material,umode_fabric_variant_suppliers,Nativo
conversion_factor (JSON_EXTRACT from this field),Não,umode_production,,,fabric variants,18,,,umode_fabric_variant_suppliers,Nativo
reference,Não,umode_production,,,product,24,,,umode_products,Nativo
name,Não,umode_production,,,product variants,22,,,umode_product_variants,Nativo
name,Não,umode_production,,,Não se aplica,19,,,jumper_entities,Nativo
reference,Sim,umode_production,,,fabric variants,23,,Ref. Variante do Material,umode_fabric_variants,Nativo
sku,Não,umode_production,,,product variants,21,,,umode_product_variants,Nativo
name,Sim,umode_production,,,fabrics,25,,Nome,umode_fabrics,Nativo
name,Não,umode_production,,,theme,20,,,umode_themes,Nativo
