ID,Campo do banco,Banco,Tabela do Banco,Hierarquia uMode,Nome na Plataforma,Nome no Front,Exemplo (value),Aparece no relatório?,Tipo de campo,Estrutura na Plataforma
1,id (used to build the URL),umode_production,umode_products,product,,,,Não,Nativo,
2,consumption_values,umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
3,updated_at (DATE_FORMAT in SELECT),umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
4,sku,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
5,id,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
6,name,umode_production,umode_themes,theme,,,,Não,Nativo,
7,name,umode_production,umode_product_variants,product variants,,,,Não,Nativo,
8,id,umode_production,umode_accessory_variant_suppliers,accessory variant,,,,Não,Nativo,
9,"price (cast/replace
  formatting in SELECT)",umode_production,umode_accessory_variant_suppliers,accessory variant,,Custo de Material,,Sim,Nativo,
10,reference,umode_production,umode_products,product,,,,Não,Nativo,
11,id,umode_production,umode_accessories,accessories,,Nome,,Sim,Nativo,
12,id,umode_production,umode_products,product,,,,Não,Nativo,
13,price_unit,umode_production,umode_accessory_variant_suppliers,accessory variant,,Unidade cadastro,,Sim,Nativo,
14,name,umode_production,umode_brands,brand,,Marca,,Sim,Nativo,
15,conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),umode_production,umode_accessory_variant_suppliers,accessory variant,,Fator Conversão,,Sim,Nativo,
16,reference,umode_production,umode_accessories,accessories,,,,Não,Nativo,
17,conversion_factor (JSON_UNQUOTE/JSON_EXTRACT from this field),umode_production,umode_accessory_variant_suppliers,accessory variant,,,,Não,Nativo,
18,name,umode_production,umode_collections,collection,,Coleção,,Sim,Nativo,
19,name,umode_production,umode_accessories,accessories,,Ref. Material,,Sim,Nativo,
20,name,umode_production,umode_products,product,,,,Não,Nativo,
21,"name (join alias s, via
umode_accessory_variant_suppliers.supplier_id)",umode_production,umode_suppliers,supplier,,,,Não,Nativo,
22,name,umode_production,umode_accessory_variants,accessory variant,,Ref. Variante do Material,,Sim,Nativo,
23,reference,umode_production,umode_accessory_variants,accessory variant,,Fornecedor,,Sim,Nativo,
24,consumption_unit,umode_production,umode_product_accessory_variants,accessory variant,,,,Não,Nativo,
25,name,umode_production,jumper_entities,Não se aplica,,,,Não,Nativo,
