Nome na Plataforma,Tabela do Banco,Nome na consulta,Nome no desenvolvimento,Dataset relacionado
entity_id,jumper_tasks (jt),entity_id,entityId,
id,jumper_tasks (jt),id,taskId,
title,jumper_tasks (jt),title,taskTitle,
description,jumper_tasks (jt),description,taskDescription,
status,jumper_tasks (jt),status,taskStatus,
deadline,jumper_tasks (jt),deadline,taskDeadline,
created_at,jumper_tasks (jt),created_at,taskCreatedAt,
updated_at,jumper_tasks (jt),updated_at,taskUpdatedAt,
completed_at,jumper_tasks (jt),completed_at,taskCompletedAt,
time,jumper_tasks (jt),time,taskTime,
created_by_id,jumper_tasks (jt),created_by_id,taskCreatedById,
completed_by_id,jumper_tasks (jt),completed_by_id,taskCompletedById,
name,jumper_task_types (jtt),task_type_name,taskTypeName,
name,jumper_users (ju),created_by_name,taskCreatedByName,
email,jumper_users (ju),created_by_email,taskCreatedByEmail,
name,jumper_users (ju2),completed_by_name,taskCompletedByName,
email,jumper_users (ju2),completed_by_email,taskCompletedByEmail,
id,jumper_user_or_policy_accesses (juopa),assignment_id,assignmentId,
target_id,jumper_user_or_policy_accesses (juopa),assignment_target_id,targetIdAssigment,
target_type,jumper_user_or_policy_accesses (juopa),assignment_target_type,targetTypeAssigment,
record_id,jumper_user_or_policy_accesses (juopa),assigned_record_id,recordIdAssigned,
record_type,jumper_user_or_policy_accesses (juopa),assigned_record_type,recordTypeAssigned,
name,jumper_users (ju_assigned),assigned_user_name,userAssignedName,
email,jumper_users (ju_assigned),assigned_user_email,userAssignedEmail,
status,jumper_users (ju_assigned),assigned_user_status,userAssignedStatus,
policy_id,"subquery
  valid roles (rv ← user_roles ur)",user_policy_assigned_id,userAssignedPolicyId,
name,policies (pol_user),user_policy_assigned_name,userAssignedPolicyName,
name,policies (pol),assigned_policy_name,policyAssignedName,
id,jumper_task_relationships (jtr),task_relationship_id,recordTypeByTaskRelationshipId,
record_type,jumper_task_relationships (jtr),task_relationship_record_type,recordTypeByTaskRelationshipName,
record_id,jumper_task_relationships (jtr),product_datasheet_id,productIdUmode,
collection_id,umode_products (p),collection_id,collectionId,
name,umode_collections (c),collection_name,collectionName,
brand_id,umode_collections (c),brand_id,brandId,
name,umode_brands (b),brand_name,brandName,
