Campo do banco,Aparece no relatório?,Banco,Estrutura na Plataforma,Exemplo (value),Hierarquia uMode,ID,Nome na Plataforma,Nome no Front,Tabela do Banco,Tipo de campo
entity_id,Não,umode_production,-,3357,customer,21,-,-,jumper_tasks (jt),Nativo
id,Não,umode_production,URL da Tarefa,94601,task,22,-,-,jumper_tasks (jt),Nativo
title,Sim,umode_production,Aba “Tarefa”,ALTERAÇÃO DE MATERIAIS,task,23,Título,Título,jumper_tasks (jt),Nativo
description,Sim,umode_production,Aba “Tarefa”,"<div>&nbsp;Preciso de
  algumas[...] </div>",task,24,Descrição,Descrição,jumper_tasks (jt),Nativo
status,Sim,umode_production,-,done,task,25,Status da Tarefa,Status da Tarefa,jumper_tasks (jt),Nativo
deadline,Sim,umode_production,"Aba “Tarefa”, “Nova Tarefa”",10/10/24 3:00,task,26,Prazo,Prazo,jumper_tasks (jt),Nativo
created_at,Sim,umode_production,Aba “Tarefa”,9/10/24 13:17,task,27,Criado em,Data da criação,jumper_tasks (jt),Nativo
updated_at,Não,umode_production,-,11/10/24 18:15,task,28,-,-,jumper_tasks (jt),Nativo
completed_at,Não,umode_production,"Aba “Tarefa”, “Tarefa Concluída”",11/10/24 18:15,task,29,Finalizado em,-,jumper_tasks (jt),Nativo
time,Não,umode_production,"Aba “Tarefa”, “Nova Tarefa”",20:00:00,task,30,Horário,-,jumper_tasks (jt),Nativo
created_by_id,Não,umode_production,Aba “Tarefa”,4861,task,31,-,-,jumper_tasks (jt),Nativo
completed_by_id,Não,umode_production,Aba “Tarefa”,4262,task,32,-,-,jumper_tasks (jt),Nativo
name,Sim,umode_production,-,,task,33,Tipo de Tarefa,Tipo de Tarefa,jumper_task_types (jtt),Nativo
name,Sim,umode_production,-,,user,34,-,Usuário ou Perfil,jumper_users (ju),Nativo
email,Sim,umode_production,-,,user,35,-,E-mail,jumper_users (ju),Nativo
name,Sim,umode_production,-,,user,36,-,-,jumper_users (ju2),Nativo
email,Sim,umode_production,-,,user,37,-,-,jumper_users (ju2),Nativo
id,Não,umode_production,-,,task,38,-,-,jumper_user_or_policy_accesses (juopa),Nativo
target_id,Não,umode_production,-,,task,39,-,-,jumper_user_or_policy_accesses (juopa),Nativo
target_type,Não,umode_production,-,J3::Task,task,40,-,-,jumper_user_or_policy_accesses (juopa),Nativo
record_id,Não,umode_production,-,,Não se aplica,41,-,-,jumper_user_or_policy_accesses (juopa),Nativo
record_type,Não,umode_production,-,,Não se aplica,42,-,-,jumper_user_or_policy_accesses (juopa),Nativo
name,Sim,umode_production,-,,user,43,Usuários e/ou Perfis de Usuário,Usuário ou Perfil,jumper_users (ju_assigned),Nativo
email,Sim,umode_production,-,,user,44,-,E-mail,jumper_users (ju_assigned),Nativo
status,Não,umode_production,-,,user,45,-,-,jumper_users (ju_assigned),Nativo
policy_id,Não,umode_production,-,,user,46,-,-,"subquery
  valid roles (rv ← user_roles ur)",Nativo
name,Sim,umode_production,-,,user,47,-,Usuário ou Perfil,policies (pol_user),Nativo
name,Sim,umode_production,-,,user,48,-,Perfil,policies (pol),Nativo
id,Não,umode_production,-,,task relationship,49,-,-,jumper_task_relationships (jtr),Nativo
record_type,Não,umode_production,-,,task relationship,50,Relacionamento da Tarefa,-,jumper_task_relationships (jtr),Nativo
record_id,Não,umode_production,-,,product,51,-,-,jumper_task_relationships (jtr),Nativo
collection_id,Não,umode_production,-,,collection,52,-,-,umode_products (p),Nativo
name,Sim,umode_production,-,,collection,53,Coleção,Coleção,umode_collections (c),Nativo
brand_id,Não,umode_production,-,,brand,54,-,-,umode_collections (c),Nativo
name,Não,umode_production,-,,brand,55,Marca,-,umode_brands (b),Nativo
