"client_id","pasta","aliases","status","segmento","grupo_segmentacao","data_ativacao","erp_integracao","drive_operacao","atendimento","qtd_demandas","qtd_rfis","qtd_marcos","arquivo"
"4takes","4takes","4takes","Regime CS","São Paulo SP","Grupo 3: Potenciais Clientes","","Não","https://drive.google.com/drive/folders/1-BakScAgktLBiM5kVvGSBtcSinvzz-vE?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/4takes/00_Institucional/_contexto/institucional.md"
"agua-de-coco","Agua de Coco","Agua de Coco","Inativo","","","","","","","0","0","0","uMode/_Clientes/Agua de Coco/00_Institucional/_contexto/institucional.md"
"basico-co","Básico&Co","Básico&Co","Churn","","Grupo 3: Potenciais Clientes","","","https://drive.google.com/drive/folders/1-m6YVE5zSW9JCXMoo6_GDplnimxyYH-c?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","1","0","9","uMode/_Clientes/Básico&Co/00_Institucional/_contexto/institucional.md"
"baw","Baw","Baw","Regime CS","","Grupo 1: Azzas","","Linx","https://drive.google.com/drive/folders/1dhvSnq9TExqFjFWUt2xKJCO5SMbGwBN6?usp=drive_link","Laura Delgado Cardoso, Andrea Goulart Holmer dos Santos (Key Account)","18","4","17","uMode/_Clientes/Baw/00_Institucional/_contexto/institucional.md"
"caedu","Caedu","Caedu","Regime CS","B2C — Vestuário,Calçados,Acessórios — São Paulo SP","Grupo 3: Potenciais Clientes","","Linx","https://drive.google.com/drive/folders/13uGFpXtLsMEZGwr_0H5YEEWcw_zFMhVu?usp=drive_link","Julianne Dias Rodrigues, Pedro Murillo (Key Account) · Andrea Goulart Holmer dos Santos (Consultor de Negócios)","26","4","25","uMode/_Clientes/Caedu/00_Institucional/_contexto/institucional.md"
"cambos","Cambos","Cambos","Ongoing","Moda — Elói Mendes / MG (fábrica) · São Paulo / SP (lojas Brás)","Médios","","SPI · Totvs Virtual Age · Banner","https://drive.google.com/drive/folders/17HOz4vDW9Am9Z0GSPlPOUBi4_kKhytVN","Laura Delgado Cardoso (atendia em par com Andrea Goulart Holmer dos Santos, confirmado via CRM","47","3","8","uMode/_Clientes/Cambos/00_Institucional/_contexto/institucional.md"
"camys","Camys","Camys","Regime CS","","Grupo 3: Potenciais Clientes","","","https://drive.google.com/drive/folders/1Qj0HILj9kxu2pAAfZpzydvKH860hp4CT?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","1","uMode/_Clientes/Camys/00_Institucional/_contexto/institucional.md"
"cavallari","Cavallari","Cavallari","Sem CS","","Grupos 4: Outros Clientes","","","https://drive.google.com/drive/folders/1YvwSLgyl2krYrcZ4SivDyLGuF_-s6d4i?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Cavallari/00_Institucional/_contexto/institucional.md"
"colmeia","Colmeia","Colmeia ; Reservado - Colmeia","Churn","B2B,B2C — Vestuário","Grupo 2: Estratégico","","Totvs Moda","https://drive.google.com/drive/folders/1oyGWuZfeCCvneiOblzq_Qksd_RGZd6qv?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account) · Rafael Del Gaudio Renaldim (Consultor de Negócios)","1","1","0","uMode/_Clientes/Colmeia/00_Institucional/_contexto/institucional.md"
"dro","DRO","DRO","Churn","","Grupo 3: Potenciais Clientes","","","https://drive.google.com/drive/folders/1DVYG_NI248syetWcQFKeg1ctcNR8KdtY?usp=drive_link","Laura Delgado Cardoso, Andrea Goulart Holmer dos Santos (Key Account)","24","1","3","uMode/_Clientes/DRO/00_Institucional/_contexto/institucional.md"
"estrela","Estrela","Estrela","Churn","","","","","https://drive.google.com/drive/folders/1AevNOKD36B3PPu-grk_i-sHqbNQ-AcSC?usp=drive_link","","0","0","0","uMode/_Clientes/Estrela/00_Institucional/_contexto/institucional.md"
"hering","Hering","Hering","Negociação","","Grupo 1: Azzas","","Ilimitar","","Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","0","0","19","uMode/_Clientes/Hering/00_Institucional/_contexto/institucional.md"
"highstil","Highstil","Highstil","Onboarding","São Paulo / SP","Grupo 3: Potenciais Clientes","11/02/2025","Totvs","https://drive.google.com/drive/folders/1Z0tKtUkWTmXeS9plI6zZIGszLuuvZ0-9, https://drive.google.com/drive/u/1/folders/1SQwKWot_TrGPargwuXYvMm65J6XoIWCJ","Laura Delgado Cardoso, Andrea Goulart Holmer dos Santos (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","14","0","53","uMode/_Clientes/Highstil/00_Institucional/_contexto/institucional.md"
"hyperlocal","Hyperlocal","Hyperlocal","Churn","Beleza — Software — São Paulo / SP","","","Avec","","Rafael Del Gaudio Renaldim (Consultor de Negócios)","0","0","0","uMode/_Clientes/Hyperlocal/00_Institucional/_contexto/institucional.md"
"laces","Laces","Laces","Churn","","","","","","","0","0","0","uMode/_Clientes/Laces/00_Institucional/_contexto/institucional.md"
"ladeira-bijuterias","Ladeira Bijuterias","Ladeira Bijuterias","Churn","","Grupo 3: Potenciais Clientes","","","https://drive.google.com/drive/folders/1hc_lni24IcanfY4QmotVT0lk24VWDcp9?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Ladeira Bijuterias/00_Institucional/_contexto/institucional.md"
"la-moda","La Moda","La Moda","Inativo","","","","","","","0","0","0","uMode/_Clientes/La Moda/00_Institucional/_contexto/institucional.md"
"lenny-niemeyer","Lenny Niemeyer","Lenny Niemeyer ; Lenny","Onboarding","Moda Praia — Rio de Janeiro / RJ","Grupo 3: Potenciais Clientes","03/02/2025","Linx","https://drive.google.com/drive/folders/1tEyrR6_WCOqpx_wv52Z456VLfVYURdVe","Julianne Dias Rodrigues, Pedro Murillo (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","69","4","66","uMode/_Clientes/Lenny Niemeyer/00_Institucional/_contexto/institucional.md"
"lofty-style","Lofty Style","Lofty Style ; Lofty","Operação Assistida","Moda — São Paulo / SP","Médios","10/02/2025","Linx","https://drive.google.com/drive/folders/1sP7YqvkGtyoCXkk6BUZwaUzIBaK9JHXV","Laura Delgado Cardoso (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultora de Negócios)","85","15","12","uMode/_Clientes/Lofty Style/00_Institucional/_contexto/institucional.md"
"lojao-do-bras","Lojão do Brás","Lojão do Brás","Churn","","Grupos 4: Outros Clientes","","","","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Lojão do Brás/00_Institucional/_contexto/institucional.md"
"luiza-barcelos","Luiza Barcelos","Luiza Barcelos","Ongoing","Calçados — Belo Horizonte / MG","Médios","07/06/2024","Safe Tech","https://drive.google.com/drive/folders/1zz1qlgXLJhbJ7TFIKmbfGEQUEBFmT-cM","Laura Delgado Cardoso (Key Account) · Marina Gonçalves Santoro (Consultora de Negócios)","70","4","11","uMode/_Clientes/Luiza Barcelos/00_Institucional/_contexto/institucional.md"
"moda-objetiva","Moda Objetiva","Moda Objetiva ; Objetiva ; em 03 ago 2026 como o mesmo cliente: ""são o mesmo cliente, internamente somente que se referencia ; cada vez de um jeito"")","Onboarding","Moda","Médios","","Ilimitar","https://drive.google.com/drive/folders/1GkOgJGSPucKU9nalMDU1EIiy1HVFPWF5","Laura Delgado Cardoso (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultora de Negócios)","34","0","14","uMode/_Clientes/Moda Objetiva/00_Institucional/_contexto/institucional.md"
"mondpars","Mondpars","Mondpars","Regime CS","","","","","","Juliana Ferré Esteves (Key Account)","0","0","0","uMode/_Clientes/Mondpars/00_Institucional/_contexto/institucional.md"
"nk-store","NK STORE","NK STORE","Onboarding","Moda — Varejo — São Paulo / SP","Grupo 2: Estratégico","10/06/2024","Linx","https://drive.google.com/drive/folders/1g7o8IA7bu4oks4dM4PsF--iq8GihTz4m","Julianne Dias Rodrigues, Pedro Murillo (Key Account)","87","12","93","uMode/_Clientes/NK STORE/00_Institucional/_contexto/institucional.md"
"ntk","NTK","NTK","Churn","","Grupo 3: Potenciais Clientes","","","https://drive.google.com/drive/folders/1LJT7oAmzpOm23M5rzjNL5w6UmY9VMoL1?usp=drive_link","Elizabeth Alves de Souza Santana (Key Account)","0","0","5","uMode/_Clientes/NTK/00_Institucional/_contexto/institucional.md"
"nv","NV","NV","Regime CS","B2C — Vestuário — São Paulo SP","Grupo 1: Azzas","","Linx","https://drive.google.com/drive/folders/1BucJ_1vczumBC2Gq_1tRVdpvY5Bdsq3_?usp=drive_link","Fernanda Araujo, Victor Aragão, Vanessa Rinaldi Ornelas Engman (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","108","10","64","uMode/_Clientes/NV/00_Institucional/_contexto/institucional.md"
"oficina-reserva","Oficina Reserva","Oficina Reserva ; OFICINA","Regime CS","","Grupo 1: Azzas","","SAP e Linx","","Laura Delgado Cardoso, Andrea Goulart Holmer dos Santos (Key Account) · Juliana Ferré Esteves (Consultor de Negócios)","28","2","37","uMode/_Clientes/Oficina Reserva/00_Institucional/_contexto/institucional.md"
"osklen","Osklen","Osklen","Onboarding","Moda — Varejo — Rio de Janeiro / RJ","Grupo 2: Estratégico","","Linx","https://drive.google.com/drive/folders/17g-4MfE69J3mFcxFFcdnxiOkND1rltjU","Sandro Costa, Julianne Dias Rodrigues, Pedro Murillo (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","117","3","55","uMode/_Clientes/Osklen/00_Institucional/_contexto/institucional.md"
"paloma-concept","Paloma concept","Paloma concept","Inativo","","","","","","","0","0","0","uMode/_Clientes/Paloma concept/00_Institucional/_contexto/institucional.md"
"pampili-mini","Pampili Mini","Pampili Mini","Inativo","","","","","","","0","0","0","uMode/_Clientes/Pampili Mini/00_Institucional/_contexto/institucional.md"
"phos","Phos","Phos","Churn","","","","","","Juliana Ferré Esteves (Key Account)","0","0","0","uMode/_Clientes/Phos/00_Institucional/_contexto/institucional.md"
"plie","Plie","Plie","Onboarding","","","","","https://drive.google.com/drive/u/1/folders/1VHd9ad7EMWumcXkBdqBjj3XSqc6nLNqw","Laura Delgado Cardoso, Andrea Goulart Holmer dos Santos (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","16","0","33","uMode/_Clientes/Plie/00_Institucional/_contexto/institucional.md"
"puket","Puket","Puket","Regime CS","","Grupo 3: Potenciais Clientes","","Linx","https://drive.google.com/drive/folders/1dWv3w9Czh2W7r5DyHDRa4wC0BoWRaFy3?usp=drive_link","Julianne Dias Rodrigues, Pedro Murillo (Key Account) · Juliana Ferré Esteves (Consultor de Negócios)","16","9","28","uMode/_Clientes/Puket/00_Institucional/_contexto/institucional.md"
"recco","Recco","Recco","Churn","Lingerie — Maringá / PR","Grupo 2: Estratégico","06/02/2025","Totvs","","Julianne Dias Rodrigues, Pedro Murillo (Key Account)","42","0","37","uMode/_Clientes/Recco/00_Institucional/_contexto/institucional.md"
"reserva","Reserva","Reserva","Regime CS","","Grupo 1: Azzas","","Linx / SAP","https://drive.google.com/drive/folders/1vMZkhGi91KZ_D_r5FGCfhNxIBXAfUldl?usp=drive_link","Fernanda Araujo, Victor Aragão, João Paulo Contar Risoleo (Key Account) · Juliana Ferré Esteves (Consultor de Negócios)","120","2","13","uMode/_Clientes/Reserva/00_Institucional/_contexto/institucional.md"
"ricardo-almeida","Ricardo Almeida","Ricardo Almeida","Churn","","","","","","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Ricardo Almeida/00_Institucional/_contexto/institucional.md"
"seven-global","Seven Global","Seven Global","Churn","B2B — Vestuário — São José dos Campos SP","","","","https://drive.google.com/drive/folders/1WGKNVRF4NFgE4Y1ZfSC-kXsWRaNL9X-o?usp=drive_link","Andrea Goulart Holmer dos Santos (Consultor de Negócios)","0","0","23","uMode/_Clientes/Seven Global/00_Institucional/_contexto/institucional.md"
"simples-by-reserva","Simples (by Reserva)","Simples","Inativo","","Grupo 1: Azzas","","","","Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","0","0","0","uMode/_Clientes/Simples (by Reserva)/00_Institucional/_contexto/institucional.md"
"studio-minah","Studio Minah","Studio Minah","Sem CS","","Grupos 4: Outros Clientes","","","https://drive.google.com/drive/folders/1Ym1iqub2o_SNzjlE4Np6j8ku0Zc8SOOn?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Studio Minah/00_Institucional/_contexto/institucional.md"
"studio-z","Studio Z","Studio Z","Churn","B2C — Calçados,Acessórios — Florianópolis SC","Grupo 2: Estratégico","","SAP","https://drive.google.com/drive/folders/1vSygjh6nkUlDfMYNBn9QRwIqnKbiOs2S?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account) · Vanessa Rinaldi Ornelas Engman (Consultor de Negócios)","0","0","17","uMode/_Clientes/Studio Z/00_Institucional/_contexto/institucional.md"
"susie-modas","Susie Modas","Susie Modas","Inativo","","","","","","","0","0","0","uMode/_Clientes/Susie Modas/00_Institucional/_contexto/institucional.md"
"tdc","TDC","TDC","Regime CS","","Grupos 4: Outros Clientes","","","https://drive.google.com/drive/folders/1WLkKxobJwDqxr_I-sw8udScFUplKgtai?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/TDC/00_Institucional/_contexto/institucional.md"
"texneo","Texneo","Texneo","Churn","","Grupo 3: Potenciais Clientes","","","","","0","0","0","uMode/_Clientes/Texneo/00_Institucional/_contexto/institucional.md"
"ton-age","Ton Age","Ton Age","Sem CS","","Grupos 4: Outros Clientes","","","https://drive.google.com/drive/folders/11Dwp2lSixuNmvZXcHUTYipYJxgW0JxF-?usp=drive_link","Rafael Del Gaudio Renaldim (Key Account)","0","0","0","uMode/_Clientes/Ton Age/00_Institucional/_contexto/institucional.md"
"vivara","Vivara","Vivara","Churn","B2C — Joalheria — São Paulo SP","","","SAP","https://drive.google.com/drive/folders/1iLmTu7Ie_ZW0qEZaB0LgNjpe-Z4iWQVl?usp=drive_link","Andrea Goulart Holmer dos Santos (Consultor de Negócios)","0","0","33","uMode/_Clientes/Vivara/00_Institucional/_contexto/institucional.md"
