"rfi_id","client_id","id_legado","nome","resumo","grupo","status","horas_estimadas","valor_negociado","valor_calculado","criado_por","key_account","data_criacao","tem_narrativa","arquivo"
"RFI-2025-001","baw","RFI-20","BAW | RFI : Escopo - Ajustes Integração","Ajustes integração","Concluídos","RFI Entregue ao Cliente","1","","R$ 300,00","Marina Santoro","","18 de setembro de 2025 15:56","True","uMode/_Clientes/Baw/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2026-001","baw","RFI-50","BAW| RFI : Integração Materiais","Mudança Processo","Concluídos","RFI Cancelada","","","R$ 0,00","Victor Aragão","","22 de janeiro de 2026 09:50","True","uMode/_Clientes/Baw/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","baw","RFI-58","Baw | RFI : Escopo - Relatório de Gestão de Coleção","Relatório de Gestão de Coleção (Padrão)","Concluídos","RFI Entregue ao Cliente","","","R$ 0,00","Marina Santoro","","6 de fevereiro de 2026 09:25","True","uMode/_Clientes/Baw/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","baw","RFI-76","BAW | RFI : Escopo - Exportação de Tabelas de Medidas para o Excel","Ops","Concluídos","RFI Cancelada","3","R$ 900","R$ 900,00","Andrea Holmer","","9 de março de 2026 17:01","True","uMode/_Clientes/Baw/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2025-001","caedu","RFI-7","CAEDU | RFI : Escopo - Hierarquia Entre Campos","Hierarquia entre campos","A fazer","RFI Stand By","36","","R$ 10.800,00","Marina Santoro","Julianne","14 de agosto de 2025 10:33","True","uMode/_Clientes/Caedu/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2026-001","caedu","RFI-44","CAEDU | RFI : Escopo - Inclusão de Campo na Ficha e Integração","Inclusão de campo na ficha e integração","Concluídos","RFI Entregue ao Cliente","","","R$ 0,00","Pedro Murillo","","15 de janeiro de 2026 14:52","True","uMode/_Clientes/Caedu/00_Institucional/_rfis/RFI-2026-001.md"
"RFI-2026-002","caedu","RFI-65","CAEDU | RFI : Escopo - Alteração Griffe, Linha, Grupo/Subgrupo nos Produtos","Atualização de Produtos","Em andamento","RFI Post Mortem","36","R$ 4.800","R$ 10.800,00","Ju Ferré","Julianne","13 de fevereiro de 2026 13:32","True","uMode/_Clientes/Caedu/00_Institucional/_rfis/RFI-2026-002.md"
"RFI-2026-003","caedu","RFI-91","CAEDU | RFI : Escopo - API de Imagens","API para consumir as imagens que estão na plataforma","A fazer","RFI Stand By","","","R$ 0,00","Marina Santoro","Julianne","10 de abril de 2026 16:34","True","uMode/_Clientes/Caedu/00_Institucional/_rfis/RFI-2026-003.md"
"RFI-2025-001","cambos","RFI-3","CAMBOS | RFI : Escopo - Ajustes Integração","Ajustes integração","Concluídos","RFI Entregue ao Cliente","5","","R$ 1.500,00","Marina Santoro","","14 de agosto de 2025 10:29","True","uMode/_Clientes/Cambos/00_Institucional/_rfis/RFI-2025-001.md"
"RFI-2026-001","cambos","RFI-57","Cambos | RFI : Escopo - Relatório de Tarefas","Relatório de Tarefas (Padrão)","Concluídos","RFI Entregue ao Cliente","","","R$ 0,00","Marina Santoro","Laura","6 de fevereiro de 2026 09:23","True","uMode/_Clientes/Cambos/00_Institucional/_rfis/RFI-2026-001.md"
